"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Insurance Commissioner","Justin Murta","(Prefers Republican Party)",189582,10.13,"State Executive"
"Insurance Commissioner","WRITE-IN"," ",1738,0.09,"State Executive"
"Legislative District 1 - State Senator","Derek Stanford","(Prefers Democratic Party)",30980,96.03,"Legislative"
"Legislative District 1 - State Senator","WRITE-IN"," ",1282,3.97,"Legislative"
"Legislative District 1 - State Representative Pos. 1","Davina Duerr","(Prefers Democratic Party)",29207,71.9,"Legislative"
"Legislative District 1 - State Representative Pos. 1","Mark Davies","(Prefers Republican Party)",11367,27.98,"Legislative"
"Legislative District 1 - State Representative Pos. 1","WRITE-IN"," ",49,0.12,"Legislative"
"Legislative District 1 - State Representative Pos. 2","Shelley Kloba","(Prefers Democratic Party)",30529,95.98,"Legislative"
"Legislative District 1 - State Representative Pos. 2","WRITE-IN"," ",1279,4.02,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Senator","Erasmo Ruiz Gonzalez","(Prefers Democratic Party)",12822,34.21,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Senator","Ronda Litzenberger","(Prefers Republican Party)",10032,26.76,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Senator","Jim McCune","(Prefers Republican Party)",14596,38.94,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Senator","WRITE-IN"," ",33,0.09,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 1","Andrew Barkis","(Prefers Republican Party)",27162,93.17,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 1","WRITE-IN"," ",1990,6.83,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 2","Yanah G Cook","(Prefers Democratic Party)",8795,23.71,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 2","Matt Marshall","(Prefers Republican Party)",12624,34.03,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 2","Michael Holloman","(Prefers Democratic Party)",4574,12.33,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 2","John Snaza","(Prefers Republican Party)",11057,29.81,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 2","WRITE-IN"," ",43,0.12,"Legislative"
"Legislative District 3 - State Senator","Marcus Riccelli","(Prefers Democratic Party)",27807,92.36,"Legislative"
"Legislative District 3 - State Senator","WRITE-IN"," ",2300,7.64,"Legislative"
"Legislative District 3 - State Representative Pos. 1","Natasha Hill","(Prefers Democratic Party)",12634,32.5,"Legislative"
"Legislative District 3 - State Representative Pos. 1","Tony Kiepe","(Prefers Republican Party)",13785,35.46,"Legislative"
"Legislative District 3 - State Representative Pos. 1","Ben Stuckart","(Prefers Democratic Party)",12364,31.8,"Legislative"
"Legislative District 3 - State Representative Pos. 1","WRITE-IN"," ",92,0.24,"Legislative"
"Legislative District 3 - State Representative Pos. 2","Timm Ormsby","(Prefers Democratic Party)",27575,93.09,"Legislative"
"Legislative District 3 - State Representative Pos. 2","WRITE-IN"," ",2046,6.91,"Legislative"
"Legislative District 4 - State Senator","Paige Scott","(Prefers Democratic Party)",4378,10.58,"Legislative"
"Legislative District 4 - State Senator","Pam Haley","(Prefers Republican Party)",5306,12.82,"Legislative"
"Legislative District 4 - State Senator","Al Merkel","(Prefers Republican Party)",4948,11.96,"Legislative"
"Legislative District 4 - State Senator","Leonard Christian","(Prefers Republican Party)",8876,21.45,"Legislative"
"Legislative District 4 - State Senator","Mike Kelly","(Prefers Republican Party)",8673,20.96,"Legislative"
"Legislative District 4 - State Senator","Miguel Valencia","(Prefers Democratic Party)",9146,22.1,"Legislative"
"Legislative District 4 - State Senator","WRITE-IN"," ",54,0.13,"Legislative"
"Legislative District 4 - State Representative Pos. 1","Kitten Wildes Beeler","(Prefers Green Party)",3634,9.19,"Legislative"
"Legislative District 4 - State Representative Pos. 1","Suzanne Schmidt","(Prefers Republican Party)",26989,68.27,"Legislative"
"Legislative District 4 - State Representative Pos. 1","Kristopher Pockell","(States No Party Preference)",8486,21.47,"Legislative"
"Legislative District 4 - State Representative Pos. 1","WRITE-IN"," ",425,1.08,"Legislative"
"Legislative District 4 - State Representative Pos. 2","Ed &quot;Woody&quot; Wood","(Prefers Democratic Party)",3466,8.43,"Legislative"
"Legislative District 4 - State Representative Pos. 2","Brandi Peetz","(Prefers Republican Party)",9408,22.87,"Legislative"
"Legislative District 4 - State Representative Pos. 2","Stephen T. Major","(Prefers Republican Party)",1592,3.87,"Legislative"
"Legislative District 4 - State Representative Pos. 2","Michael A. Schmidt","(Prefers Republican Party)",6715,16.32,"Legislative"
"Legislative District 4 - State Representative Pos. 2","Ted Cummings","(Prefers Democratic Party)",9886,24.03,"Legislative"
"Legislative District 4 - State Representative Pos. 2","Rob Chase","(Prefers Republican Party)",10025,24.37,"Legislative"
"Legislative District 4 - State Representative Pos. 2","WRITE-IN"," ",47,0.11,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Senator","Bill Ramos","(Prefers Democratic Party)",24309,53.78,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Senator","Chad Magendanz","(Prefers Republican Party)",20865,46.16,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Senator","WRITE-IN"," ",28,0.06,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 1","Jason Ritchie","(Prefers Democratic Party)",4404,9.87,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 1","Victoria Hunt","(Prefers Democratic Party)",15646,35.08,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 1","Kristiana de Leon","(Prefers Democratic Party)",4558,10.22,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 1","Landon Halverson","(Prefers Republican Party)",7701,17.27,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 1","Mark Hargrove","(Prefers Republican Party)",12270,27.51,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 1","WRITE-IN"," ",22,0.05,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 2","Patrick Peacock","(Prefers Republican Party)",19105,42.63,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 2","Lisa Callan","(Prefers Democratic Party)",25683,57.3,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 2","WRITE-IN"," ",33,0.07,"Legislative"
"Legislative District 6 - State Representative Pos. 1","Mike Volz","(Prefers Republican Party)",23731,61.89,"Legislative"
"Legislative District 6 - State Representative Pos. 1","Steven McCray II","(Prefers Democratic Party)",14495,37.8,"Legislative"
"Legislative District 6 - State Representative Pos. 1","WRITE-IN"," ",119,0.31,"Legislative"
"Legislative District 6 - State Representative Pos. 2","Jenny Graham","(Prefers Republican Party)",23109,60.36,"Legislative"
"Legislative District 6 - State Representative Pos. 2","Michaela Kelso","(Prefers Democratic Party)",15062,39.34,"Legislative"
"Legislative District 6 - State Representative Pos. 2","WRITE-IN"," ",115,0.3,"Legislative"
"Legislative District 7 - State Representative Pos. 1","Teagan Levine","(Prefers Republican Party)",10278,24.78,"Legislative"
"Legislative District 7 - State Representative Pos. 1","Andrew Engell","(Prefers Republican Party)",19870,47.9,"Legislative"
"Legislative District 7 - State Representative Pos. 1","Soo Ing-Moody","(Prefers Republican Party)",10485,25.28,"Legislative"
"Legislative District 7 - State Representative Pos. 1","WRITE-IN"," ",848,2.04,"Legislative"
"Legislative District 7 - State Representative Pos. 2","Ronald L McCoy","(Prefers Republican Party)",6179,13.65,"Legislative"
"Legislative District 7 - State Representative Pos. 2","Hunter Abell","(Prefers Republican Party)",15749,34.79,"Legislative"
"Legislative District 7 - State Representative Pos. 2","Pat Bell","(Prefers Republican Party)",10967,24.23,"Legislative"
"Legislative District 7 - State Representative Pos. 2","Paul &quot;Rocky&quot; Dean","(Prefers Democratic Party)",12277,27.12,"Legislative"
"Legislative District 7 - State Representative Pos. 2","WRITE-IN"," ",95,0.21,"Legislative"
"Legislative District 8 - State Representative Pos. 1","Stephanie Barnard","(Prefers Republican Party)",28157,96.3,"Legislative"
"Legislative District 8 - State Representative Pos. 1","WRITE-IN"," ",1081,3.7,"Legislative"
"Legislative District 8 - State Representative Pos. 2","April Connors","(Prefers Republican Party)",26441,71.87,"Legislative"
"Legislative District 8 - State Representative Pos. 2","John Christenson","(Prefers Democratic Party)",10278,27.94,"Legislative"
"Legislative District 8 - State Representative Pos. 2","WRITE-IN"," ",73,0.2,"Legislative"
"Legislative District 9 - State Senator","Mark G. Schoesler","(Prefers GOP Party)",29574,94.29,"Legislative"
"Legislative District 9 - State Senator","WRITE-IN"," ",1790,5.71,"Legislative"
"Legislative District 9 - State Representative Pos. 1","Mary Dye","(Prefers GOP Party)",26988,66.34,"Legislative"
"Legislative District 9 - State Representative Pos. 1","Patrick Miller","(Prefers Democratic Party)",13537,33.28,"Legislative"
"Legislative District 9 - State Representative Pos. 1","WRITE-IN"," ",157,0.39,"Legislative"
"Legislative District 9 - State Representative Pos. 2","Pam Kohlmeier","(Prefers Democratic Party)",11582,28.26,"Legislative"
"Legislative District 9 - State Representative Pos. 2","Joe Schmick","(Prefers Republican Party)",26958,65.78,"Legislative"
"Legislative District 9 - State Representative Pos. 2","Arianna Arends","(Prefers Democratic Party)",2348,5.73,"Legislative"
"Legislative District 9 - State Representative Pos. 2","WRITE-IN"," ",95,0.23,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Senator","Denny Sandberg","(Prefers Democrat Party)",3072,5.99,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Senator","Janet St Clair","(Prefers Democratic Party)",23391,45.64,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Senator","Ron Muzzall","(Prefers Republican Party)",24724,48.24,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Senator","WRITE-IN"," ",63,0.12,"Legislative"
"Legislative District 10 - State Representative Pos. 1","Carrie R. Kennedy","(Prefers Republican Party)",13374,26.42,"Legislative"
"Legislative District 10 - State Representative Pos. 1","Yvonne Gallardo-Van Ornam","(Prefers Republican Party)",10700,21.14,"Legislative"
"Legislative District 10 - State Representative Pos. 1","Clyde Shavers","(Prefers Democratic Party)",26484,52.32,"Legislative"
"Legislative District 10 - State Representative Pos. 1","WRITE-IN"," ",58,0.11,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Representative Pos. 2","Dave Paul","(Prefers Democratic Party)",28186,55.51,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Representative Pos. 2","Gary Wray","(Prefers Republican Party)",22542,44.39,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Representative Pos. 2","WRITE-IN"," ",53,0.1,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Senator","Bob Hasegawa","(Prefers Democratic Party)",21167,95.29,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Senator","WRITE-IN"," ",1046,4.71,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 1","David Hackney","(Prefers Democratic Party)",20702,95.31,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 1","WRITE-IN"," ",1019,4.69,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 2","Steve Bergquist","(Prefers Democratic Party)",20342,80.34,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 2","Justin Greywolf","(Prefers Libertarian Party)",4607,18.19,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 2","WRITE-IN"," ",372,1.47,"Legislative"
"Legislative District 12 - State Senator","Keith W. Goehner","(Prefers Republican Party)",24356,56.07,"Legislative"
"Legislative District 12 - State Senator","Jim Mayhew","(Prefers Democratic Party)",19039,43.83,"Legislative"
"Legislative District 12 - State Senator","WRITE-IN"," ",40,0.09,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Representative Pos. 1","Heather Koellen","(Prefers Democratic Party)",19302,44.63,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Representative Pos. 1","Brian Burnett","(Prefers Republican Party)",17997,41.61,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Representative Pos. 1","Jennifer Bumpus","(Prefers Republican Party)",5920,13.69,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Representative Pos. 1","WRITE-IN"," ",34,0.08,"Legislative"
"Legislative District 12 - State Representative Pos. 2","Mike Steele","(Prefers Republican Party)",25482,71.93,"Legislative"
